hotel_id,city_id,hotel_type,basename,distance_to_center,longitude,latitude,overall_rating,impression_level,interaction_level,car_park,club_club_hotel,designer_hotel,attraction_hotel,luxury_hotel,beach_front_hotel,convention_hotel,spa_hotel,country_hotel,airport_hotel,senior_hotel,eco_friendly_hotel,party_people,business_people,honeymooners,singles,large_groups,family_hotel,gay_friendly,wifi_lobby,wifi_room
84201,27561,Hotel,XO Hotels City Centre,563,4.896845817565918,52.375179290771484,1,6,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,NA,1,1
84265,27561,Hotel,Amsterdam Marriott Hotel,1367,4.879209041595459,52.362857818603516,4,7,3,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1
84291,27561,Hotel,The Toren,909,4.885819911956787,52.37593078613281,5,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
108325,31497,Hotel,B P International,2391,114.16950988769531,22.302671432495117,3,2,1,1,NA,NA,NA,NA,0,1,NA,NA,1,NA,NA,NA,1,1,NA,1,1,NA,1,1
118915,14257,Hotel,Hilton Checkers Los Angeles,240,-118.25521850585938,34.0494384765625,4,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1
7033351,14257,Hotel,Rotex Western Inn,4939,-118.30936431884766,34.055049896240234,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
7170159,14257,Hotel,Hyatt Regency Los Angeles International Airport,17374,-118.39511108398438,33.946163177490234,2,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA
11491367,14121,Home / Apartment,Luxury Living & Spa,458,22.946754455566406,40.63026809692383,5,1,1,1,NA,NA,NA,1,0,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
11935919,14257,Hotel,Los Angeles Vacation Rooms,5451,-118.3022689819336,34.02104949951172,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
6088555,31497,Hostel,Ho Mong Kok Hostel,4268,114.17073822021484,22.319896697998047,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1
6750493,27561,Bed & Breakfast,Floating B&B Amsterdam,5641,4.977840900421143,52.3763313293457,4,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
15877,14257,Hotel,Hilton Los Angeles Airport,16470,-118.38159942626953,33.94623565673828,3,4,4,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,1,1
15901,14257,Hotel,The L A Hotel Downtown,391,-118.25540161132812,34.05500030517578,3,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1
15925,14257,Hotel,The Westin Los Angeles Airport,16131,-118.37419891357422,33.94459915161133,3,2,2,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1
27651,14257,Hotel,Sofitel Los Angeles at Beverly Hills,11534,-118.3775405883789,34.076202392578125,5,3,3,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,1,NA,1,1,NA,1,1
32233,27561,Hotel,Park Hotel Amsterdam,1277,4.883021831512451,52.361534118652344,4,4,2,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,1,0,1,1,1
65977,14121,Hotel,Mediterranean Palace,898,22.93571662902832,40.6359977722168,4,1,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,1
77757,14121,Hotel,Le Palace Art Hotel,546,22.939664840698242,40.634498596191406,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1
79479,27561,Hotel,Bastion Hotel Amsterdam Amstel,4617,4.927638053894043,52.33366012573242,1,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1
84169,27561,Hotel,NH Collection Doelen,283,4.894617080688477,52.367698669433594,3,5,2,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,1,1,1
84209,27561,Hotel,Amsterdam Tropen Hotel,2077,4.922632217407227,52.36174011230469,3,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1
84253,27561,Hotel,Radisson Blu Hotel Amsterdam,88,4.896639823913574,52.370079040527344,5,7,6,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,NA,NA,1,1
84581,27561,Hotel,NH City Centre Amsterdam,456,4.888692855834961,52.369747161865234,3,9,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,1,1
108243,31497,Hotel,Harbour Grand Kowloon,3856,114.19215393066406,22.30249786376953,5,3,3,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1
108661,31497,Hotel,Panda Hotel,10528,114.12030029296875,22.36910057067871,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1
119895,14257,Hotel,Super 8 Los Angeles Culver City Area,17503,-118.43389892578125,33.99654769897461,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1
134169,14257,Hotel,Ramada Los Angeles / Downtown West,2003,-118.27766418457031,34.0511474609375,1,2,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,1
164779,27561,Hotel,Amstel Botel,3414,4.889459133148193,52.40069580078125,1,5,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
2073951,31497,Hostel,Dragon Hostel Hong Kong,4276,114.1707534790039,22.319961547851562,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
4508675,27561,Inn,Mosaic City Centre,1592,4.874014854431152,52.36428451538086,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
11940539,14257,Home / Apartment,Boutique Hollywood,6520,-118.3016586303711,34.09626770019531,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211627,27561,Hotel,Rokin,161,4.892996788024902,52.37023162841797,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
219659,14121,Hotel,Telioni Hotel,1109,22.938907623291016,40.64268112182617,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,1,1
3158473,14121,Hotel,Olympic Bibis,107,22.94734001159668,40.63404846191406,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
3529197,14121,Hotel,Andromeda Hotel,574,22.939483642578125,40.633270263671875,4,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1
3660849,14121,Hotel,Esperia,615,22.943397521972656,40.63948059082031,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
4759671,31497,Hotel,Wanchai 88 Hotel,1502,114.1750717163086,22.27732276916504,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1
5106419,31497,Hotel,Lander Prince Edward,4919,114.16427612304688,22.326629638671875,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
33267,31497,Hotel,InterContinental Hotels Hong Kong,1774,114.1740951538086,22.293420791625977,5,2,2,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
33271,31497,Hotel,Grand Hyatt Hong Kong,1085,114.17202758789062,22.281204223632812,5,2,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1
66003,14121,Hotel,The Tobacco Hotel,1067,22.939577102661133,40.64255905151367,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,1
77717,14121,Hotel,Lazart Hotel,2872,22.932790756225586,40.65811538696289,5,1,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,1
77723,14121,Hotel,Grand Hotel Palace,3997,22.906301498413086,40.65380859375,4,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1
77749,14121,Hotel,Hotel Abc,741,22.95330047607422,40.63050079345703,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
84177,27561,Hotel,Sofitel Legend the Grand Amsterdam,107,4.895458221435547,52.37116241455078,5,5,3,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,1
84203,27561,Hotel,American Hotel Amsterdam,1206,4.880990982055664,52.36383056640625,4,4,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1
84219,27561,Hotel,NH Amsterdam Caransa,498,4.896699905395508,52.36579895019531,3,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1
84273,27561,Hotel,Pulitzer Amsterdam,73624,4,52,5,5,2,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1
84347,27561,Hotel,Singel,855,4.893400192260742,52.37779998779297,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
84551,27561,Hotel,Holiday Inn Amsterdam,3920,4.888535022735596,52.3351936340332,3,6,4,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1
108281,31497,Hotel,Novotel Hong Kong Century,1563,114.17625427246094,22.278873443603516,3,2,2,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,1,1,NA,1,1
108369,31497,Hotel,The Empire Hotel Kowloon,2510,114.17500305175781,22.301300048828125,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1
134153,14257,Hotel,Luxe Sunset Boulevard Hotel,19723,-118.4685287475586,34.072540283203125,4,2,3,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1
15857,14257,Hotel,Comfort Inn Near Old Town Pasadena,10416,-118.21688842773438,34.13943099975586,4,1,1,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,1,1
15889,14257,Hotel,Luxe City Center Hotel,1100,-118.26409912109375,34.0443000793457,4,2,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1
15907,14257,Hotel,Radisson Hotel Los Angeles Midtown At Usc,4265,-118.28089904785156,34.01921844482422,3,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1
15913,14257,Hotel,Sheraton Gateway Los Angeles Hotel,17086,-118.39089965820312,33.94620132446289,4,2,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1
30919,27561,Hotel,Hotel Okura Amsterdam,2386,4.893883228302002,52.34876251220703,5,8,4,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,0,1,1,NA,1,0,1,1,1
32493,27561,Hotel,Steigenberger Airport Hotel Amsterdam,8941,4.810932159423828,52.30851745605469,4,6,4,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,1,1
77711,14121,Hotel,Makedonia Palace,1872,22.952991485595703,40.61834716796875,5,2,2,1,NA,NA,NA,1,0,1,NA,NA,1,NA,NA,1,1,1,1,1,1,1,1,1
77753,14121,Hotel,Hotel Olympia Thessaloniki,508,22.94515037536621,40.63886642456055,4,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,1,1
84167,27561,Hotel,NH Collection Amsterdam Barbizon Palace,769,4.900360107421875,52.37641143798828,3,7,4,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,0,1,1,1,1,1,1,1,1
84331,27561,Hotel,Novotel Amsterdam City,4096,4.888967037200928,52.33357620239258,4,8,8,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,1
84553,27561,Hotel,Amsterdam De Roode Leeuw,408,4.89359188079834,52.37370681762695,3,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,0,1,1,1
84555,27561,Hotel,West Side Inn Amsterdam,4303,4.842651844024658,52.34872817993164,1,8,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1
108263,31497,Hotel,Holiday Inn Golden Mile Hong Kong,1972,114.17269897460938,22.296899795532227,4,2,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,1
123507,14257,Hotel,Crowne Plaza Los Angeles Airport,16969,-118.38909149169922,33.9461555480957,3,2,3,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,1,1,1,1,1
134171,14257,Hotel,Hollywood Hotel,5632,-118.29120635986328,34.0928840637207,2,3,4,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,1,0,1,1,NA,1,0,1,1,1
138439,14257,Hotel,Carlyle Inn,11811,-118.38398742675781,34.05655288696289,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
1941297,14121,Hotel,Sun Beach Hotel & Conference Centre,15980,22.88210105895996,40.4991340637207,2,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1
475271,31497,Hotel,Courtyard Hong Kong,2412,114.13892364501953,22.288084030151367,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,1
713931,14257,Hotel,Hollywood Inn Express South,2159,-118.26984405517578,34.067134857177734,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1
776361,14257,Motel,Royal Pagoda Motel,2475,-118.23625183105469,34.06666564941406,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
793951,31497,Hotel,Royal View,12894,114.07788848876953,22.368799209594727,3,2,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1
16531879,14121,Home / Apartment,Home Katerina,21702,22.690296173095703,40.614768981933594,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16404427,14121,Home / Apartment,Alcyone Apartments,610,22.951091766357422,40.63036346435547,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6278979,31497,Hostel,Pandas Hostel Star Ferry,2223,114.17529296875,22.297903060913086,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,1
6286131,14257,Hotel,Residence Inn Los Angeles LAX/Century Boulevard,16806,-118.38716125488281,33.94660949707031,5,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1
195853,27561,Hotel,Quentin England hotel,1575,4.877081871032715,52.36147689819336,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198849,31497,Hotel,Regal Oriental,6192,114.19304656982422,22.329917907714844,3,3,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1
201225,27561,Hotel,Delta Hotel,567,4.895599842071533,52.375301361083984,1,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201609,14121,Hotel,Egnatia Hotel,803,22.93966293334961,40.6396484375,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1
211831,27561,Hotel,BackStage Hotel,1151,4.8802690505981445,52.3654899597168,3,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1
213183,27561,Hotel,Max Brown Hotel Canal District,992,4.892222881317139,52.37891387939453,4,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
198811,31497,Hotel,Dorsett Wanchai,1794,114.17674255371094,22.274513244628906,4,2,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1
198815,31497,Hotel,Harbour Plaza North Point,4958,114.2087631225586,22.29146957397461,3,3,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1
198817,31497,Resort,Harbour Plaza Resort City,25472,114.00293731689453,22.458410263061523,4,1,3,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,1,1
198835,31497,Hotel,Prince Marco Polo Hotel,1984,114.16828155517578,22.2991886138916,5,2,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1
198843,31497,Hotel,Regal Airport Hotel,23725,113.93431854248047,22.318790435791016,3,2,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,1,1,1,1,NA,1,1
198863,31497,Hotel,Cheung Chau Warwick,15690,114.0322494506836,22.207740783691406,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
201215,27561,Hotel,ibis Styles Amsterdam Central Station,885,4.896461009979248,52.37812805175781,3,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
201611,14121,Hotel,Egnatia Palace,102,22.94596290588379,40.63526153564453,3,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,1,1,1,1,0,NA,1,1
2147687,27561,Hotel,Rembrandt Square,511,4.8964009284973145,52.36565399169922,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1
2333371,31497,Hotel,Silka West Kowloon,4246,114.16266632080078,22.320632934570312,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1
4555919,31497,Hotel,Holiday Inn Express Hong Kong Soho,1145,114.15088653564453,22.28533935546875,4,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,1,NA,NA,1,1
6735967,31497,Hotel,iclub Fortress Hill,3192,114.19215393066406,22.287256240844727,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,0,NA,1,NA,1,1
6777649,27561,Home / Apartment,The Grand Canal House,918,4.886270046234131,52.37630844116211,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
2609635,14121,Hotel,Nouvelle,651,22.944419860839844,40.64006423950195,3,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,1
3697937,14257,Hotel,Trylon,9189,-118.33145904541016,34.105506896972656,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
2409455,31497,Hotel,Harbour Grand Hong Kong,3175,114.19161224365234,22.288976669311523,4,3,2,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,1,1
2409983,14121,Hotel,Atlantis Hotel,883,22.937721252441406,40.639068603515625,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1
2706659,31497,Hotel,Noah's Ark,12622,114.06161499023438,22.348295211791992,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1
2736275,31497,Hotel,Mini Hotel Central,581,114.15634155273438,22.280488967895508,1,1,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1
2978253,27561,Serviced Apartment,Htel Amsterdam - Buitenveldert,5001,4.87194299697876,52.32756042480469,5,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,1,1
3106313,14121,Hotel,Ilisia,792,22.93864631652832,40.63865280151367,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2210179,14121,Hotel,Amalia,391,22.9417781829834,40.63554382324219,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
260549,27561,Hotel,Agora,532,4.888938903808594,52.36746597290039,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1
296075,31497,Hotel,L'Hotel Causeway Bay Harbour View,3214,114.19279479980469,22.283239364624023,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1
298287,14257,Hotel,Avenue Hotel,4372,-118.29190826416016,34.0771598815918,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
298299,14257,Hotel,Kimpton Hotel Palomar Beverly Hills,16729,-118.43721771240234,34.06013488769531,5,2,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,1,1,1,1,1
303625,27561,Bed & Breakfast,Nemo Apartments & Guest House,766,4.90543794631958,52.373294830322266,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1
683911,14121,Hotel,Rotonda Hotel Thessaloniki,2144,22.92537498474121,40.645477294921875,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,1,1,NA,1,1
716131,14257,Hotel,O Hotel,675,-118.2607192993164,34.04691696166992,2,1,1,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1
1384501,31497,Hotel,The South China,3922,114.1982192993164,22.292144775390625,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1
1791117,27561,Bed & Breakfast,The Crown,603,4.899899959564209,52.37486267089844,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
